Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2000","2000","ha","215630","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2000","2000","kg/ha","757.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2000","2000","t","163287","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2001","2001","ha","515690","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2001","2001","kg/ha","1114.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2001","2001","t","574654","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2002","2002","ha","401400","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2002","2002","kg/ha","1036.7","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2002","2002","t","416112","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2003","2003","ha","782380","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2003","2003","kg/ha","1561.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2003","2003","t","1221976","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2004","2004","ha","915440","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2004","2004","kg/ha","1323.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2004","2004","t","1211600","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2005","2005","ha","684648","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2005","2005","kg/ha","1508.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2005","2005","t","1032819","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2006","2006","ha","812280","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2006","2006","kg/ha","1521.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2006","2006","t","1235880","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2007","2007","ha","971246","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2007","2007","kg/ha","1221.8","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2007","2007","t","1186658","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2008","2008","ha","435963","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2008","2008","kg/ha","908.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2008","2008","t","395922","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2009","2009","ha","1250762","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2009","2009","kg/ha","1761.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2009","2009","t","2203359","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2010","2010","ha","1018792","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2010","2010","kg/ha","1476.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2010","2010","t","1503900","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2011","2011","ha","852379","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2011","2011","kg/ha","1476","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2011","2011","t","1258080","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2012","2012","ha","1030477","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2012","2012","kg/ha","1544.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2012","2012","t","1591715","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2013","2013","ha","897719","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2013","2013","kg/ha","1669.4","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2013","2013","t","1498639","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2014","2014","ha","791843","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2014","2014","kg/ha","1186.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2014","2014","t","939401","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2015","2015","ha","802336","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2015","2015","kg/ha","1284.4","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2015","2015","t","1030556","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2016","2016","ha","1236204","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2016","2016","kg/ha","744.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2016","2016","t","919907","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2017","2017","ha","1303149","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2017","2017","kg/ha","744.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2017","2017","t","969696","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2018","2018","ha","1080250","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2018","2018","kg/ha","1811.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2018","2018","t","1957327.07","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2019","2019","ha","1133005","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2019","2019","kg/ha","1454.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2019","2019","t","1647746","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2020","2020","ha","978114","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2020","2020","kg/ha","1240.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2020","2020","t","1213137","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2021","2021","ha","525631","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2021","2021","kg/ha","1056.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2021","2021","t","555364","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2022","2022","ha","1025000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2022","2022","kg/ha","975.6","X","Figure from international organizations",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2022","2022","t","1000000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2023","2023","ha","1025000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5412","Yield","0115","Barley","2023","2023","kg/ha","975.6","X","Figure from international organizations",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0115","Barley","2023","2023","t","1000000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2000","2000","ha","19480","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2000","2000","kg/ha","341.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2000","2000","t","6661","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2001","2001","ha","19290","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2001","2001","kg/ha","638.3","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2001","2001","t","12312","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2002","2002","ha","19330","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2002","2002","kg/ha","774.5","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2002","2002","t","14971","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2003","2003","ha","22850","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2003","2003","kg/ha","836","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2003","2003","t","19102","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2004","2004","ha","23079","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2004","2004","kg/ha","709.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2004","2004","t","16367","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2005","2005","ha","23348","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2005","2005","kg/ha","587.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2005","2005","t","13727","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2006","2006","ha","21252","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2006","2006","kg/ha","597.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2006","2006","t","12706","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2007","2007","ha","20681","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2007","2007","kg/ha","691.2","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2007","2007","t","14294","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2008","2008","ha","20361","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2008","2008","kg/ha","550.6","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2008","2008","t","11211","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2009","2009","ha","22274","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01703","Chick peas, dry","2009","2009","kg/ha","800.9","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","01703","Chick peas, dry","2009","2009","t","17840","A","Official figure",""
